query_id,treatment_id,parent_node,Async Capable,Parent Relationship,Parallel Aware,Node Type,Plan Rows,Output,input_rows,output_rows,left_child_input_actual_rows,left_child_input_rows,right_child_input_actual_rows,right_child_input_rows,execution_time,Actual Loops,Shared Read Blocks,Self Shared Read Blocks,Self Shared Hit Blocks,Temp Read Blocks,Temp Written Blocks,Peak Memory Usage,Original Hash Buckets,Original Hash Batches,shared_read_blocks_log,run_id,execution_log_time,dbname,data_folder_name
3978,0,Hash Join,False,Inner,False,Hash,1,['posts_1.id'],0,0,0,1,0.0,0.0,0.0009999999999763,1.0,60169.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,4.779380011491656,0,0.00043407747930838123,mathso,ce_mathso
3978,0,Hash Join,False,Inner,False,Hash,1943,"['tags.tagname', 'tags.id']",0,0,0,1943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,mathso,ce_mathso
3978,0,Hash Join,False,Inner,False,Hash,3641094,"['posttags.postid', 'posttags.tagid']",0,0,0,3641094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,mathso,ce_mathso
3978,9,Hash Join,False,Inner,False,Hash,1,"['(count(posttags_1.postid))', 'tags_1.tagname']",0,0,0,1,0.0,0.0,0.0005999999999971399,1.0,60169.6,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,4.779384342144638,0,0.00026049854738906524,mathso,ce_mathso
3978,9,Hash Join,False,Inner,False,Hash,1,['posts_1.id'],0,0,0,1,0.0,0.0,0.0009999999999952332,1.0,60169.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,4.779380011491656,0,0.00043407747931656983,mathso,ce_mathso
3978,9,Hash Join,False,Inner,False,Hash,1943,"['tags.tagname', 'tags.id']",0,0,0,1943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,mathso,ce_mathso
3978,9,Hash Join,False,Inner,False,Hash,3641094,"['posttags.postid', 'posttags.tagid']",0,0,0,3641094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,mathso,ce_mathso
3978,18,Hash Join,False,Inner,False,Hash,1,"['(count(posttags_1.postid))', 'tags_1.tagname']",0,0,0,1,0.0,0.0,0.00049999999998815,1.0,60169.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,4.779380011491656,0,0.000217092972225076,mathso,ce_mathso
3978,18,Hash Join,False,Inner,False,Hash,1943,"['tags.tagname', 'tags.id']",0,0,0,1943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,mathso,ce_mathso
3978,18,Hash Join,False,Inner,False,Hash,3641094,"['posttags.postid', 'posttags.tagid']",0,0,0,3641094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,mathso,ce_mathso
3978,24,Hash Join,False,Inner,False,Hash,1,"['(count(posttags_1.postid))', 'tags_1.tagname']",0,0,0,1,0.0,0.0,0.0009999999999763,1.0,60169.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,4.779380011491656,0,0.00043407747930838123,mathso,ce_mathso
3978,24,Hash Join,False,Inner,False,Hash,1943,"['tags.tagname', 'tags.id']",0,0,0,1943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,mathso,ce_mathso
3978,24,Hash Join,False,Inner,False,Hash,3641094,"['posttags.postid', 'posttags.tagid']",0,0,0,3641094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,mathso,ce_mathso
3981,0,Hash Join,False,Inner,False,Hash,1,"['(count(posttags_1.postid))', 'tags_1.tagname']",0,0,0,1,0.0,0.0,0.0,1.0,60170.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,4.779387229222635,0,0.0,mathso,ce_mathso
3981,0,Hash Join,False,Inner,False,Hash,1,['posts_1.id'],0,0,0,1,0.0,0.0,0.0009999999999763,1.0,60169.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,4.779380011491656,0,0.00043407747930838123,mathso,ce_mathso
3981,0,Hash Join,False,Inner,False,Hash,1943,"['tags.tagname', 'tags.id']",0,0,0,1943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,mathso,ce_mathso
3981,0,Hash Join,False,Inner,False,Hash,3641094,"['posttags.postid', 'posttags.tagid']",0,0,0,3641094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,mathso,ce_mathso
3981,9,Hash Join,False,Inner,False,Hash,1,"['(count(posttags_1.postid))', 'tags_1.tagname']",0,0,0,1,0.0,0.0,0.00040000000000188,1.0,60169.6,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,4.779384342144638,0,0.00017368305846576725,mathso,ce_mathso
3981,9,Hash Join,False,Inner,False,Hash,1,['posts_1.id'],0,0,0,1,0.0,0.0,0.0010000000000141666,1.0,60169.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,4.779380011491656,0,0.00043407747932475843,mathso,ce_mathso
3981,9,Hash Join,False,Inner,False,Hash,1943,"['tags.tagname', 'tags.id']",0,0,0,1943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,mathso,ce_mathso
3981,9,Hash Join,False,Inner,False,Hash,3641094,"['posttags.postid', 'posttags.tagid']",0,0,0,3641094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,mathso,ce_mathso
3981,18,Hash Join,False,Inner,False,Hash,1,"['(count(posttags_1.postid))', 'tags_1.tagname']",0,0,0,1,0.0,0.0,0.00050000000001655,1.0,60169.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,4.779380011491656,0,0.00021709297223741322,mathso,ce_mathso
3981,18,Hash Join,False,Inner,False,Hash,1943,"['tags.tagname', 'tags.id']",0,0,0,1943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,mathso,ce_mathso
3981,18,Hash Join,False,Inner,False,Hash,3641094,"['posttags.postid', 'posttags.tagid']",0,0,0,3641094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,mathso,ce_mathso
3981,24,Hash Join,False,Inner,False,Hash,1,"['(count(posttags_1.postid))', 'tags_1.tagname']",0,0,0,1,0.0,0.0,0.0009999999999763,1.0,60169.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,4.779380011491656,0,0.00043407747930838123,mathso,ce_mathso
3981,24,Hash Join,False,Inner,False,Hash,1943,"['tags.tagname', 'tags.id']",0,0,0,1943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,mathso,ce_mathso
3981,24,Hash Join,False,Inner,False,Hash,3641094,"['posttags.postid', 'posttags.tagid']",0,0,0,3641094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,mathso,ce_mathso
4202,0,Hash Join,False,Inner,False,Hash,1,['t.id'],0,0,0,1,0.0,0.0,0.002750000000000025,1.0,16.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,1.2304489213782739,0,0.0011926706536844283,mathso,ce_mathso
4202,0,Hash Join,False,Inner,False,Hash,1065,"['posts.body', 'posts.id', 'pa.id']",0,0,0,1065,0.0,0.0,0.0009999999999999501,1.0,18.0,0.0,0.0,0.0,0.0,8.0,1024.0,2.0,1.2787536009528289,0,0.0004340774793185929,mathso,ce_mathso
4202,0,Hash Join,False,Inner,False,Hash,1874,['pt.postid'],0,0,0,1874,0.0,0.0,0.000749999999999925,1.0,17.0,0.0,0.0,0.0,0.0,16.0,2048.0,2.0,1.255272505103306,0,0.00032559877714274466,mathso,ce_mathso
4202,0,Hash Join,False,Inner,False,Hash,3241,"['pt.postid', 'pa.parentid', 'pa.id']",0,0,0,3241,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,16.0,2048.0,4.0,1.255272505103306,0,0.0,mathso,ce_mathso
4202,6,Hash Join,False,Inner,False,Hash,1,['t.id'],0,0,0,1,0.0,0.0,0.002999999999999833,1.0,16.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,1.2304489213782739,0,0.001300933020418072,mathso,ce_mathso
4202,6,Hash Join,False,Inner,False,Hash,1065,"['posts.body', 'posts.id', 'pa.id']",0,0,0,1065,0.0,0.0,0.00033333333333336666,1.0,18.0,0.0,0.0,0.0,0.0,16.0,2048.0,1.0,1.2787536009528289,0,0.00014474070519017137,mathso,ce_mathso
4202,6,Hash Join,False,Inner,False,Hash,1874,"['pt.postid', 'posts.body', 'posts.id']",0,0,0,1874,0.0,0.0,0.0006666666666666335,1.0,17.0,0.0,0.0,0.0,0.0,16.0,2048.0,1.0,1.255272505103306,0,0.0002894331875891156,mathso,ce_mathso
4202,6,Hash Join,False,Inner,False,Hash,1874,['pt.postid'],0,0,0,1874,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,16.0,2048.0,1.0,1.255272505103306,0,0.0,mathso,ce_mathso
4481,0,Hash Join,False,Inner,False,Hash,1227,['users.id'],1132,1132,1132,1227,0.0,0.0,0.6110000000000184,1.0,22739.0,0.0,0.0,0.0,1.0,37.0,2048.0,2.0,4.356790460351716,0,0.207095540419223,mathso,ce_mathso
4481,9,Hash Join,False,Inner,False,Hash,1227,['users.id'],1132,1132,1132,1227,0.0,0.0,0.7029999999999973,1.0,22739.0,0.0,0.0,0.0,1.0,37.0,2048.0,2.0,4.356790460351716,0,0.2312146479626003,mathso,ce_mathso
4481,18,Hash Join,False,Inner,False,Hash,1227,['users.id'],1132,1132,1132,1227,0.0,0.0,1.277000000000001,1.0,22739.0,0.0,0.0,0.0,1.0,37.0,2048.0,2.0,4.356790460351716,0,0.35736303061514296,mathso,ce_mathso
4481,24,Hash Join,False,Inner,False,Hash,1227,['users.id'],1132,1132,1132,1227,0.0,0.0,0.5524999999999949,1.0,22739.0,0.0,0.0,0.0,0.0,56.0,2048.0,1.0,4.356790460351716,0,0.19103160884861636,mathso,ce_mathso
