query_id,treatment_id,parent_node,Async Capable,Parallel Aware,Node Type,Sort Key,Plan Rows,Output,Parent Relationship,Sort Method,Sort Space Type,left_child_input_rows,right_child_input_actual_rows,right_child_input_rows,input_rows,output_rows,execution_time,Actual Loops,Shared Read Blocks,Self Shared Read Blocks,Self Shared Hit Blocks,Temp Read Blocks,Temp Written Blocks,execution_log_time,shared_read_blocks_log,run_id,dbname,data_folder_name
25603,0,Limit,False,False,Sort,['(sum(p.viewcount)) DESC'],24856,"['p.owneruserid', '(sum(p.viewcount))']",Outer,top-N heapsort,Memory,24856,0.0,0.0,303019.0,100,32.65342857142871,1.0,82908.0,0.0,3.0,25802.0,27495.0,1.5270293162212276,4.91860167696984,0,mathso,ce_mathso
25603,6,Limit,False,False,Sort,['(sum(p.viewcount)) DESC'],24856,"['p.owneruserid', '(sum(p.viewcount))']",Outer,top-N heapsort,Memory,24856,0.0,0.0,303019.0,100,35.01714285714291,1.0,82908.0,0.0,3.0,0.0,0.0,1.5565092584393212,4.91860167696984,0,mathso,ce_mathso
25632,0,Aggregate,False,False,Sort,['p.owneruserid'],620452,"['p.owneruserid', 'p.viewcount']",Outer,external merge,Disk,620452,0.0,0.0,1444572.0,1444572,908.2642857142857,1.0,82908.0,0.0,3.0,25526.0,27201.0,2.958690133106619,4.91860167696984,0,mathso,ce_mathso
25632,0,Limit,False,False,Sort,['(sum(p.viewcount)) DESC'],8285,"['p.owneruserid', '(sum(p.viewcount))', '(avg(p.viewcount))', '(count(p.owneruserid))']",Outer,top-N heapsort,Memory,8285,0.0,0.0,3938.0,100,0.7362857142856488,1.0,82908.0,0.0,3.0,25526.0,27201.0,0.23962119199702442,4.91860167696984,0,mathso,ce_mathso
25632,6,Limit,False,False,Sort,['(sum(p.viewcount)) DESC'],8285,"['p.owneruserid', '(sum(p.viewcount))', '(avg(p.viewcount))', '(count(p.owneruserid))']",Outer,top-N heapsort,Memory,8285,0.0,0.0,3938.0,100,0.7612857142857398,1.0,82908.0,0.0,3.0,1134.0,2249.0,0.24582981256735717,4.91860167696984,0,mathso,ce_mathso
26119,0,0,False,False,Sort,"['comments.score DESC', 'comments.creationdate']",13387,"['score', 'text', 'creationdate', 'postid', 'id']",0,external merge,Disk,13387,0.0,0.0,13092.0,13092,26.492500000000007,1.0,177043.0,0.0,6.0,1114.0,1218.0,1.4392142337262679,5.248081213155437,0,mathso,ce_mathso
26119,6,0,False,False,Sort,"['comments.score DESC', 'comments.creationdate']",13387,"['score', 'text', 'creationdate', 'postid', 'id']",0,quicksort,Memory,13387,0.0,0.0,13092.0,13092,15.166333333333304,1.0,177043.0,0.0,6.0,0.0,0.0,1.2086115292648845,5.248081213155437,0,mathso,ce_mathso
26327,0,0,False,False,Sort,['(count(users.location)) DESC'],3062,"['location', '(count(location))']",0,external merge,Disk,3062,0.0,0.0,27963.0,27963,18.83625000000002,1.0,22739.0,0.0,3.0,2305.0,3097.0,1.2974595731488312,4.356790460351716,0,mathso,ce_mathso
26327,6,0,False,False,Sort,['(count(users.location)) DESC'],3062,"['location', '(count(location))']",0,quicksort,Memory,3062,0.0,0.0,27963.0,27963,6.226000000000018,1.0,22739.0,0.0,3.0,0.0,0.0,0.8588979572320045,4.356790460351716,0,mathso,ce_mathso
26493,0,0,False,False,Sort,"['q.score DESC', 'a.score']",11146,"['a.id', 'q.score', 'a.score']",0,quicksort,Memory,11146,0.0,0.0,639.0,639,0.3597499999999627,1.0,120305.0,0.0,3.0,2118.0,2118.0,0.1334590674871968,5.080287287372363,0,mathso,ce_mathso
26493,6,0,False,False,Sort,"['q.score DESC', 'a.score']",11146,"['a.id', 'q.score', 'a.score']",0,quicksort,Memory,11146,0.0,0.0,639.0,639,0.32700000000007395,1.0,120305.0,0.0,3.0,0.0,0.0,0.12287092286445969,5.080287287372363,0,mathso,ce_mathso
26897,0,0,False,False,Sort,['q.score DESC'],11842,"['q.id', 'q.score']",0,quicksort,Memory,11842,0.0,0.0,604.0,604,0.71449999999993,1.0,120305.0,0.0,3.0,5526.0,5936.0,0.23413748945094523,5.080287287372363,0,mathso,ce_mathso
26897,6,0,False,False,Sort,['q.score DESC'],11842,"['q.id', 'q.score']",0,quicksort,Memory,11842,0.0,0.0,604.0,604,0.3063333333333655,1.0,120305.0,0.0,3.0,1335.0,1335.0,0.11605400875845086,5.080287287372363,0,mathso,ce_mathso
27155,0,0,False,False,Sort,['(count(*)) DESC'],372189,"['(lower(title))', '(count(*))']",0,quicksort,Memory,372189,0.0,0.0,278.0,278,0.15228571428568616,1.0,60169.0,0.0,3.0,82543.0,87275.0,0.0615601776573324,4.779380011491656,0,mathso,ce_mathso
